                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.72319,                 1.1627,                 1.0405,                0.70074,                0.63562,                0.67503,                0.51866,                0.90662,                 1.9783,                 1.1705,             0.00042925,             0.00042925,             0.00042925
                     78,                0.65298,                 1.1228,                 1.0049,                0.71845,                0.66363,                0.70327,                0.54181,                0.89188,                 1.8238,                 1.1651,             0.00041275,             0.00041275,             0.00041275
                     79,                0.65337,                 1.0657,                0.98609,                0.71845,                0.66363,                0.70327,                0.54181,                0.89188,                 1.8238,                 1.1651,             0.00039625,             0.00039625,             0.00039625
                     80,                0.67381,                  1.129,                 1.0008,                0.77406,                0.69019,                0.74675,                0.57198,                0.87747,                 1.7128,                  1.148,             0.00037974,             0.00037974,             0.00037974
                     81,                0.56577,                 1.0792,                0.99218,                0.77406,                0.69019,                0.74675,                0.57198,                0.87747,                 1.7128,                  1.148,             0.00036324,             0.00036324,             0.00036324
                     82,                0.70643,                 1.2481,                0.93091,                0.84811,                 0.6848,                0.77068,                0.60558,                0.84913,                 1.6147,                 1.1304,             0.00034674,             0.00034674,             0.00034674
                     83,                0.52265,                 0.9845,                0.91852,                0.84811,                 0.6848,                0.77068,                0.60558,                0.84913,                 1.6147,                 1.1304,             0.00033023,             0.00033023,             0.00033023
                     84,                0.63138,                 1.0818,                0.98053,                0.90593,                0.68041,                0.77626,                 0.6041,                 0.8547,                 1.5556,                 1.1372,             0.00031373,             0.00031373,             0.00031373
                     85,                0.65858,                 1.1634,                 1.0272,                0.90593,                0.68041,                0.77626,                 0.6041,                 0.8547,                 1.5556,                 1.1372,             0.00029723,             0.00029723,             0.00029723
                     86,                0.56112,                 1.0046,                0.95243,                0.87903,                0.69394,                0.77581,                0.60405,                0.84689,                  1.545,                 1.1396,             0.00028072,             0.00028072,             0.00028072
                     87,                0.62927,                0.98019,                0.96607,                0.87903,                0.69394,                0.77581,                0.60405,                0.84689,                  1.545,                 1.1396,             0.00026422,             0.00026422,             0.00026422
                     88,                0.66062,                 1.0172,                0.94569,                0.87471,                0.70035,                0.77837,                0.59546,                0.86217,                 1.5474,                 1.1517,             0.00024772,             0.00024772,             0.00024772
                     89,                0.65549,                 1.0683,                 1.0006,                0.87471,                0.70035,                0.77837,                0.59546,                0.86217,                 1.5474,                 1.1517,             0.00023121,             0.00023121,             0.00023121
